day,ticker,side,pool,entry,stop,target,rr_target,R,reason
2026-01-06,QQQ,short,PMH,618.97,620.47,616.72,1.51,-1.0,stop
2026-01-06,NVDA,short,PMH,189.72,189.87,188.13,10.23,-1.0,stop
2026-01-06,TSLA,long,PML,447.99,447.41,454.71,11.51,-1.0,stop
2026-01-07,SPY,short,PDH,692.06,692.57,690.0,4.05,-1.0,stop
2026-01-07,QQQ,short,PMH,623.69,623.82,621.47,16.77,-1.0,stop
2026-01-07,TSLA,short,PMH,434.75,436.52,431.63,1.77,-1.0,stop
2026-01-08,SPY,short,PMH,689.02,689.67,687.0,3.06,-1.0,stop
2026-01-08,QQQ,short,PMH,623.29,623.94,622.35,1.44,1.44,target
2026-01-08,AMD,long,PDL,207.38,206.95,211.51,9.65,-1.0,stop
2026-01-09,AAPL,long,PML,258.13,258.12,258.6,51.85,-1.0,stop
2026-01-09,NVDA,long,PML,185.09,184.76,187.0,5.74,-1.0,stop
2026-01-09,AMD,short,PMH,206.09,206.35,204.29,6.7,-1.0,stop
2026-01-13,SPY,short,PDH,695.94,696.65,694.01,2.75,2.75,target
2026-01-13,QQQ,short,PDH,628.52,629.32,625.4,3.88,-1.0,stop
2026-01-13,AAPL,short,PMH,259.81,260.08,258.65,4.2,4.2,target
2026-01-13,NVDA,short,PMH,185.6,185.98,184.48,2.93,2.93,target
2026-01-13,MSFT,short,PMH,476.63,477.23,475.0,2.72,2.72,target
2026-01-14,QQQ,long,PML,622.41,620.67,625.77,1.93,-1.0,stop
2026-01-14,TSLA,long,PDL,444.22,443.68,447.0,5.19,-1.0,stop
2026-01-15,AAPL,short,PMH,260.58,260.95,259.51,2.89,-1.0,stop
2026-01-15,TSLA,short,PMH,442.91,444.13,437.48,4.45,-1.0,stop
2026-01-16,AAPL,long,PDL,257.58,257.33,258.55,3.9,-1.0,stop
2026-01-16,NVDA,long,PML,188.59,187.91,189.28,1.01,1.01,target
2026-01-16,TSLA,long,PML,440.51,439.48,441.88,1.32,-1.0,stop
2026-01-21,QQQ,long,PDL,608.26,607.17,610.6,2.12,2.12,target
2026-01-21,TSLA,long,PDL,420.66,420.39,424.0,12.11,12.11,target
2026-01-21,MSFT,long,PML,451.86,451.38,456.8,10.5,-1.0,stop
2026-01-22,SPY,short,PMH,689.81,690.31,685.44,8.56,-1.0,stop
2026-01-22,QQQ,short,PMH,621.99,622.63,616.58,8.37,2.7,close
2026-01-22,AAPL,short,PMH,249.85,250.9,248.0,1.75,-1.0,stop
2026-01-22,NVDA,short,PDH,185.05,186.25,183.34,1.41,0.5,close
2026-01-22,MSFT,short,PMH,449.12,449.72,444.73,7.19,-1.0,stop
2026-01-22,AMD,short,PDH,252.43,253.21,251.29,1.45,1.45,target
2026-01-23,SPY,long,PML,687.49,686.78,690.93,4.79,4.79,target
2026-01-23,NVDA,short,PMH,187.9,189.53,183.93,2.44,0.21,close
2026-01-23,TSLA,long,PML,446.94,446.76,449.12,11.88,-1.0,stop
2026-01-23,MSFT,long,PML,451.04,450.42,452.84,2.92,-1.0,stop
2026-01-23,AMD,short,PMH,261.67,264.03,251.68,4.23,-1.0,stop
2026-01-27,AAPL,short,PMH,259.56,259.85,254.77,16.39,-1.0,stop
2026-01-27,MSFT,long,PML,472.6,472.57,474.25,62.74,-1.0,stop
2026-01-28,SPY,long,PML,696.78,696.23,698.96,4.02,-1.0,stop
2026-01-28,AAPL,long,PML,257.29,256.73,259.33,3.61,-1.0,stop
2026-01-28,AMD,short,PDH,255.72,255.82,254.2,15.53,-1.0,stop
2026-01-29,AAPL,short,PDH,258.3,259.59,257.0,1.01,0.3,close
2026-01-29,NVDA,short,PMH,191.48,191.63,190.2,8.78,-1.0,stop
2026-01-29,TSLA,long,PML,438.74,437.8,445.1,6.77,-1.0,stop
2026-01-29,AMD,short,PDH,256.24,259.32,251.5,1.54,1.54,target
2026-01-30,SPY,short,PMH,693.14,693.2,687.08,107.12,-1.0,stop
2026-01-30,QQQ,short,PMH,627.44,628.0,621.23,11.12,-1.0,stop
2026-01-30,AAPL,short,PMH,259.06,259.86,255.67,4.18,4.18,target
2026-01-30,NVDA,short,PMH,192.12,192.64,188.26,7.56,-1.0,stop
2026-02-03,AAPL,short,PDH,268.16,268.48,267.26,2.78,-1.0,stop
2026-02-04,TSLA,short,PMH,421.44,422.51,418.09,3.12,3.12,target
2026-02-04,AMD,long,PML,218.24,217.39,227.66,11.06,-1.0,stop
2026-02-05,SPY,long,PDL,681.75,681.39,687.81,16.79,-1.0,stop
2026-02-05,QQQ,long,PDL,601.4,599.86,608.74,4.76,-1.0,stop
2026-02-05,MSFT,long,PML,404.9,404.4,410.95,12.04,-1.0,stop
2026-02-05,AMD,long,PDL,199.52,198.28,205.92,5.17,-1.0,stop
2026-02-06,QQQ,short,PMH,603.0,603.54,594.76,15.22,-1.0,stop
2026-02-06,AAPL,short,PMH,276.3,277.02,273.42,4.01,-1.0,stop
2026-02-06,MSFT,short,PMH,400.97,401.7,395.74,7.16,-1.0,stop
2026-02-10,QQQ,long,PML,613.24,612.41,616.44,3.9,0.13,close
2026-02-10,AAPL,short,PMH,273.95,274.3,273.01,2.76,-1.0,stop
2026-02-10,NVDA,short,PMH,191.3,192.53,189.74,1.27,1.27,target
2026-02-10,AMD,short,PMH,217.62,219.29,214.75,1.72,1.72,target
2026-02-11,SPY,short,PMH,695.16,695.47,692.85,7.44,-1.0,stop
2026-02-11,AAPL,short,PMH,274.36,274.75,272.94,3.61,-1.0,stop
